TagName,,,d
"python","2008","8","119"
"python","2008","9","535"
"python","2008","10","505"
"python","2008","11","447"
"python","2008","12","437"
"python","2009","1","631"
"python","2009","2","630"
"python","2009","3","764"
"python","2009","4","769"
"python","2009","5","995"
"python","2009","6","1041"
"python","2009","7","1157"
"python","2009","8","1131"
"python","2009","9","1169"
"python","2009","10","1417"
"python","2009","11","1550"
"python","2009","12","1585"
"python","2010","1","1935"
"python","2010","2","1861"
"python","2010","3","2069"
"python","2010","4","1806"
"python","2010","5","2008"
"python","2010","6","2202"
"python","2010","7","2581"
"python","2010","8","2489"
"python","2010","9","2246"
"python","2010","10","2669"
"python","2010","11","2598"
"python","2010","12","2472"
"python","2011","1","2896"
"python","2011","2","3003"
"python","2011","3","3740"
"python","2011","4","3323"
"python","2011","5","3509"
"python","2011","6","3458"
"python","2011","7","3645"
"python","2011","8","3813"
"python","2011","9","3505"
"python","2011","10","3598"
"python","2011","11","3851"
"python","2011","12","3602"
"python","2012","1","4172"
"python","2012","2","4469"
"python","2012","3","4996"
"python","2012","4","4880"
"python","2012","5","5047"
"python","2012","6","5246"
"python","2012","7","5702"
"python","2012","8","5848"
"python","2012","9","5238"
"python","2012","10","6119"
"python","2012","11","6379"
"python","2012","12","5734"
"python","2013","1","6543"
"python","2013","2","6709"
"python","2013","3","7586"
"python","2013","4","7900"
"python","2013","5","7775"
"python","2013","6","7561"
"python","2013","7","8571"
"python","2013","8","7913"
"python","2013","9","7924"
"python","2013","10","9446"
"python","2013","11","9452"
"python","2013","12","8406"
"python","2014","1","9799"
"python","2014","2","9855"
"python","2014","3","11366"
"python","2014","4","10688"
"python","2014","5","9192"
"python","2014","6","8871"
"python","2014","7","9874"
"python","2014","8","9083"
"python","2014","9","8734"
"python","2014","10","9546"
"python","2014","11","9540"
"python","2014","12","9013"
"python","2015","1","9655"
"python","2015","2","10175"
"python","2015","3","11567"
"python","2015","4","11396"
"python","2015","5","11189"
"python","2015","6","11766"
"python","2015","7","12284"
"python","2015","8","11200"
"python","2015","9","10938"
"python","2015","10","12451"
"python","2015","11","12258"
"python","2015","12","11618"
"python","2016","1","12316"
"python","2016","2","13219"
"python","2016","3","14038"
"python","2016","4","13603"
"python","2016","5","13074"
"python","2016","6","12885"
"python","2016","7","12796"
"python","2016","8","12886"
"python","2016","9","12321"
"python","2016","10","13476"
"python","2016","11","14150"
"python","2016","12","13009"
"python","2017","1","14230"
"python","2017","2","14744"
"python","2017","3","17086"
"python","2017","4","15611"
"python","2017","5","16148"
"python","2017","6","15973"
"python","2017","7","16867"
"python","2017","8","16451"
"python","2017","9","15416"
"python","2017","10","16900"
"python","2017","11","16925"
"python","2017","12","14885"
"python","2018","1","16190"
"python","2018","2","16271"
"python","2018","3","17862"
"python","2018","4","16927"
"python","2018","5","17540"
"python","2018","6","16771"
"python","2018","7","17903"
"python","2018","8","17705"
"python","2018","9","15987"
"python","2018","10","18108"
"python","2018","11","17976"
"python","2018","12","15689"
"python","2019","1","16910"
"python","2019","2","17489"
"python","2019","3","19850"
"python","2019","4","19780"
"python","2019","5","18857"
"python","2019","6","17181"
"python","2019","7","19699"
"python","2019","8","17991"
"python","2019","9","16838"
"python","2019","10","20387"
"python","2019","11","20541"
"python","2019","12","18045"
"python","2020","1","19905"
"python","2020","2","19962"
"python","2020","3","22587"
"python","2020","4","27530"
"python","2020","5","29346"
"python","2020","6","27028"
"python","2020","7","26210"
"python","2020","8","22953"
"python","2020","9","21661"
"python","2020","10","22717"
"python","2020","11","22081"
"python","2020","12","22092"
"python","2021","1","22797"
"python","2021","2","21335"
"python","2021","3","23738"
"python","2021","4","22336"
"python","2021","5","22301"
"python","2021","6","20798"
"python","2021","7","20495"
"python","2021","8","19756"
"python","2021","9","18934"
"python","2021","10","19722"
"python","2021","11","19969"
"python","2021","12","18943"
"python","2022","1","19619"
"python","2022","2","19193"
"python","2022","3","20656"
"python","2022","4","19779"
"python","2022","5","19341"
"python","2022","6","18707"
"python","2022","7","18981"
"python","2022","8","18610"
"python","2022","9","17026"
"python","2022","10","18461"
"python","2022","11","18805"
"python","2022","12","15816"
"python","2023","1","14972"
"python","2023","2","13009"
"python","2023","3","12758"
"python","2023","4","10037"
"python","2023","5","9538"
"python","2023","6","9073"
"python","2023","7","9021"
"python","2023","8","8276"
"python","2023","9","6993"
"python","2023","10","7143"
"python","2023","11","6770"
"python","2023","12","6893"
"python","2024","1","7645"
"python","2024","2","7733"
"python","2024","3","7316"
"python","2024","4","7287"
"python","2024","5","6836"
"python","2024","6","5023"
"python","2024","7","5223"
"python","2024","8","4502"
"python","2024","9","3706"
"python","2024","10","3517"
"python","2024","11","3612"
