TagName,,,d
"r","2008","9","6"
"r","2008","11","1"
"r","2008","12","1"
"r","2009","1","8"
"r","2009","2","8"
"r","2009","3","4"
"r","2009","4","12"
"r","2009","5","2"
"r","2009","6","5"
"r","2009","7","49"
"r","2009","8","47"
"r","2009","9","138"
"r","2009","10","73"
"r","2009","11","93"
"r","2009","12","80"
"r","2010","1","94"
"r","2010","2","122"
"r","2010","3","139"
"r","2010","4","160"
"r","2010","5","139"
"r","2010","6","176"
"r","2010","7","233"
"r","2010","8","283"
"r","2010","9","236"
"r","2010","10","214"
"r","2010","11","241"
"r","2010","12","223"
"r","2011","1","249"
"r","2011","2","322"
"r","2011","3","422"
"r","2011","4","474"
"r","2011","5","425"
"r","2011","6","442"
"r","2011","7","453"
"r","2011","8","586"
"r","2011","9","612"
"r","2011","10","618"
"r","2011","11","605"
"r","2011","12","612"
"r","2012","1","690"
"r","2012","2","811"
"r","2012","3","887"
"r","2012","4","836"
"r","2012","5","870"
"r","2012","6","966"
"r","2012","7","1111"
"r","2012","8","1084"
"r","2012","9","1057"
"r","2012","10","1264"
"r","2012","11","1344"
"r","2012","12","1210"
"r","2013","1","1504"
"r","2013","2","1655"
"r","2013","3","1839"
"r","2013","4","1829"
"r","2013","5","1775"
"r","2013","6","1764"
"r","2013","7","1954"
"r","2013","8","1912"
"r","2013","9","1704"
"r","2013","10","2080"
"r","2013","11","2173"
"r","2013","12","1904"
"r","2014","1","2338"
"r","2014","2","2612"
"r","2014","3","2787"
"r","2014","4","2718"
"r","2014","5","2574"
"r","2014","6","2389"
"r","2014","7","2626"
"r","2014","8","2459"
"r","2014","9","2352"
"r","2014","10","2762"
"r","2014","11","2698"
"r","2014","12","2353"
"r","2015","1","2677"
"r","2015","2","2965"
"r","2015","3","3555"
"r","2015","4","3321"
"r","2015","5","3417"
"r","2015","6","3416"
"r","2015","7","3975"
"r","2015","8","3490"
"r","2015","9","3322"
"r","2015","10","3671"
"r","2015","11","3531"
"r","2015","12","3176"
"r","2016","1","3529"
"r","2016","2","3583"
"r","2016","3","4039"
"r","2016","4","4117"
"r","2016","5","3793"
"r","2016","6","3858"
"r","2016","7","3744"
"r","2016","8","3783"
"r","2016","9","3300"
"r","2016","10","3781"
"r","2016","11","3556"
"r","2016","12","3148"
"r","2017","1","3485"
"r","2017","2","3673"
"r","2017","3","4601"
"r","2017","4","4258"
"r","2017","5","4310"
"r","2017","6","4441"
"r","2017","7","4574"
"r","2017","8","4560"
"r","2017","9","4218"
"r","2017","10","4538"
"r","2017","11","4500"
"r","2017","12","3712"
"r","2018","1","4196"
"r","2018","2","4499"
"r","2018","3","5097"
"r","2018","4","4726"
"r","2018","5","4726"
"r","2018","6","4477"
"r","2018","7","4401"
"r","2018","8","4100"
"r","2018","9","3748"
"r","2018","10","4348"
"r","2018","11","4217"
"r","2018","12","3394"
"r","2019","1","3939"
"r","2019","2","4238"
"r","2019","3","4485"
"r","2019","4","4592"
"r","2019","5","4292"
"r","2019","6","3940"
"r","2019","7","4193"
"r","2019","8","3948"
"r","2019","9","3933"
"r","2019","10","4376"
"r","2019","11","4279"
"r","2019","12","3738"
"r","2020","1","4133"
"r","2020","2","4668"
"r","2020","3","5113"
"r","2020","4","6168"
"r","2020","5","6007"
"r","2020","6","5431"
"r","2020","7","4935"
"r","2020","8","4490"
"r","2020","9","4750"
"r","2020","10","5063"
"r","2020","11","4803"
"r","2020","12","4335"
"r","2021","1","4336"
"r","2021","2","4320"
"r","2021","3","5163"
"r","2021","4","4790"
"r","2021","5","4660"
"r","2021","6","4273"
"r","2021","7","4043"
"r","2021","8","4031"
"r","2021","9","3895"
"r","2021","10","4168"
"r","2021","11","4020"
"r","2021","12","3533"
"r","2022","1","3840"
"r","2022","2","3910"
"r","2022","3","4476"
"r","2022","4","4174"
"r","2022","5","4133"
"r","2022","6","3887"
"r","2022","7","3661"
"r","2022","8","3783"
"r","2022","9","3537"
"r","2022","10","3913"
"r","2022","11","3999"
"r","2022","12","3205"
"r","2023","1","3256"
"r","2023","2","3269"
"r","2023","3","3292"
"r","2023","4","2596"
"r","2023","5","2368"
"r","2023","6","2207"
"r","2023","7","2021"
"r","2023","8","1998"
"r","2023","9","1744"
"r","2023","10","1732"
"r","2023","11","1661"
"r","2023","12","1595"
"r","2024","1","1788"
"r","2024","2","1820"
"r","2024","3","1682"
"r","2024","4","1535"
"r","2024","5","1372"
"r","2024","6","1086"
"r","2024","7","1055"
"r","2024","8","878"
"r","2024","9","750"
"r","2024","10","794"
"r","2024","11","770"
